Left,Right,PLeft,PRight
3403,3403,3385,3385
3420,3420,3403,3403
3436,3436,3420,3420
3454,3454,3436,3436
3469,3469,3454,3454
3484,3484,3469,3469
3498,3498,3484,3484
3513,3513,3498,3498
3541,3541,3513,3513
3556,3556,3541,3541
3574,3574,3556,3556
3590,3590,3574,3574
3605,3605,3590,3590
3622,3622,3605,3605
3637,3637,3622,3622
3652,3652,3637,3637
3667,3667,3652,3652
3682,3682,3667,3667
3698,3698,3682,3682
3713,3713,3698,3698
3731,3731,3713,3713
3748,3748,3731,3731
3765,3765,3748,3748
3780,3780,3765,3765
3797,3797,3780,3780
3813,3813,3797,3797
3830,3830,3813,3813
3845,3845,3830,3830
3861,3861,3845,3845
3877,3877,3861,3861
3894,3894,3877,3877
3911,3911,3894,3894
3941,3941,3911,3911
3956,3956,3941,3941
3971,3971,3956,3956
3986,3986,3971,3971
4001,4001,3986,3986
4017,4017,4001,4001
4036,4036,4017,4017
4056,4056,4036,4036
4072,4072,4056,4056
4087,4087,4072,4072
4103,4103,4087,4087
4119,4119,4103,4103
4134,4134,4119,4119
4149,4149,4134,4134
4164,4164,4149,4149
4180,4180,4164,4164
4195,4195,4180,4180
4212,4212,4195,4195
4228,4228,4212,4212
4243,4243,4228,4228
4260,4260,4243,4243
4278,4278,4260,4260
4295,4295,4278,4278
4327,4327,4295,4295
4344,4344,4327,4327
4360,4360,4344,4344
4376,4376,4360,4360
4392,4392,4376,4376
4408,4408,4392,4392
4425,4425,4408,4408
4439,4439,4425,4425
4456,4456,4439,4439
4471,4471,4456,4456
4487,4487,4471,4471
4502,4502,4487,4487
4517,4517,4502,4502
4533,4533,4517,4517
4548,4548,4533,4533
4562,4562,4548,4548
4577,4577,4562,4562
4593,4593,4577,4577
4609,4609,4593,4593
4623,4623,4609,4609
4639,4639,4623,4623
4656,4656,4639,4639
4671,4671,4656,4656
4698,4698,4671,4671
4713,4713,4698,4698
4730,4730,4713,4713
4748,4748,4730,4730
4765,4765,4748,4748
4781,4781,4765,4765
4799,4799,4781,4781
4814,4814,4799,4799
4830,4830,4814,4814
4845,4845,4830,4830
4860,4860,4845,4845
4875,4875,4860,4860
4891,4891,4875,4875
4908,4908,4891,4891
4924,4924,4908,4908
4939,4939,4924,4924
4956,4956,4939,4939
4972,4972,4956,4956
4990,4990,4972,4972
5006,5006,4990,4990
5022,5022,5006,5006
5040,5040,5022,5022
5068,5068,5040,5040
5111,5111,5068,5068
5128,5128,5111,5111
5143,5143,5128,5128
5159,5159,5143,5143
5175,5175,5159,5159
5192,5192,5175,5175
5210,5210,5192,5192
5227,5227,5210,5210
5243,5243,5227,5227
5260,5260,5243,5243
5283,5283,5260,5260
5301,5301,5283,5283
5318,5318,5301,5301
5333,5333,5318,5318
5349,5349,5333,5333
5364,5364,5349,5349
5379,5379,5364,5364
5395,5395,5379,5379
5416,5416,5395,5395
5433,5433,5416,5416
5446,5446,5433,5433
5475,5475,5446,5446
5490,5490,5475,5475
5507,5507,5490,5490
5523,5523,5507,5507
5540,5540,5523,5523
5556,5556,5540,5540
5571,5571,5556,5556
5586,5586,5571,5571
5601,5601,5586,5586
5616,5616,5601,5601
5631,5631,5616,5616
5647,5647,5631,5631
5663,5663,5647,5647
5680,5680,5663,5663
5697,5697,5680,5680
5712,5712,5697,5697
5727,5727,5712,5712
5742,5742,5727,5727
5757,5757,5742,5742
5772,5772,5757,5757
5787,5787,5772,5772
5802,5802,5787,5787
5818,5818,5802,5802
5833,5833,5818,5818
5861,5861,5833,5833
5876,5876,5861,5861
5891,5891,5876,5876
5906,5906,5891,5891
5923,5923,5906,5906
5939,5939,5923,5923
5956,5956,5939,5939
5972,5972,5956,5956
5987,5987,5972,5972
6002,6002,5987,5987
6017,6017,6002,6002
6014,6023,6017,6017
6009,6028,6014,6023
6004,6033,6009,6028
5998,6039,6004,6033
5992,6044,5998,6039
5987,6049,5992,6044
5983,6054,5987,6049
5978,6059,5983,6054
5973,6064,5978,6059
5968,6069,5973,6064
5963,6074,5968,6069
5958,6079,5963,6074
5953,6084,5958,6079
5941,6095,5953,6084
5936,6101,5941,6095
5930,6106,5936,6101
5925,6111,5930,6106
5920,6117,5925,6111
5915,6122,5920,6117
5910,6127,5915,6122
5900,6137,5910,6127
5895,6142,5900,6137
5890,6147,5895,6142
5885,6152,5890,6147
5880,6157,5885,6152
5874,6163,5880,6157
5869,6168,5874,6163
5864,6173,5869,6168
5859,6178,5864,6173
5853,6183,5859,6178
5848,6188,5853,6183
5843,6193,5848,6188
5838,6199,5843,6193
5832,6204,5838,6199
5827,6210,5832,6204
5821,6215,5827,6210
5814,6223,5821,6215
5809,6228,5814,6223
5804,6233,5809,6228
5799,6238,5804,6233
5793,6243,5799,6238
5788,6249,5793,6243
5783,6254,5788,6249
5778,6259,5783,6254
5773,6264,5778,6259
5768,6269,5773,6264
5763,6274,5768,6269
5758,6279,5763,6274
5753,6284,5758,6279
5748,6289,5753,6284
5743,6294,5748,6289
5738,6299,5743,6294
5732,6304,5738,6299
5728,6309,5732,6304
5722,6314,5728,6309
5717,6319,5722,6314
5728,6331,5717,6319
5743,6346,5728,6331
5759,6362,5743,6346
5775,6378,5759,6362
5808,6411,5775,6378
5825,6428,5808,6411
5837,6440,5825,6428
5853,6456,5837,6440
5868,6471,5853,6456
5891,6494,5868,6471
5906,6509,5891,6494
5922,6525,5906,6509
5937,6540,5922,6525
5952,6555,5937,6540
5967,6570,5952,6555
5982,6585,5967,6570
5998,6601,5982,6585
6016,6619,5998,6601
6031,6634,6016,6619
6046,6649,6031,6634
6062,6665,6046,6649
6078,6681,6062,6665
6093,6696,6078,6681
6109,6712,6093,6696
6124,6727,6109,6712
6138,6741,6124,6727
6153,6756,6138,6741
6169,6772,6153,6756
6197,6800,6169,6772
6212,6815,6197,6800
6227,6830,6212,6815
6243,6846,6227,6830
6259,6862,6243,6846
6274,6877,6259,6862
6289,6892,6274,6877
6303,6906,6289,6892
6319,6922,6303,6906
6335,6938,6319,6922
6351,6954,6335,6938
6368,6971,6351,6954
6385,6988,6368,6971
6401,7004,6385,6988
6416,7019,6401,7004
6431,7034,6416,7019
6449,7052,6431,7034
6464,7067,6449,7052
6480,7083,6464,7067
6496,7099,6480,7083
6512,7115,6496,7099
6529,7132,6512,7115
6545,7148,6529,7132
6580,7183,6545,7148
6596,7199,6580,7183
6611,7214,6596,7199
6627,7230,6611,7214
6642,7245,6627,7230
6657,7260,6642,7245
6672,7275,6657,7260
6687,7290,6672,7275
6703,7306,6687,7290
6719,7322,6703,7306
6734,7337,6719,7322
6750,7353,6734,7337
6765,7368,6750,7353
6780,7383,6765,7368
6795,7398,6780,7383
6810,7413,6795,7398
6826,7429,6810,7413
6841,7444,6826,7429
6856,7459,6841,7444
6873,7476,6856,7459
6888,7491,6873,7476
6903,7506,6888,7491
6918,7521,6903,7506
6934,7537,6918,7521
6967,7570,6934,7537
6984,7587,6967,7570
7003,7606,6984,7587
7018,7621,7003,7606
7033,7636,7018,7621
7048,7651,7033,7636
7066,7669,7048,7651
7084,7687,7066,7669
7100,7703,7084,7687
7117,7720,7100,7703
7135,7738,7117,7720
7153,7756,7135,7738
7169,7772,7153,7756
7186,7789,7169,7772
7205,7808,7186,7789
7221,7824,7205,7808
7237,7840,7221,7824
7253,7856,7237,7840
7269,7872,7253,7856
7285,7888,7269,7872
7301,7904,7285,7888
7316,7919,7301,7904
7331,7934,7316,7919
