X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001288053,0
0.003220132,0
0.005152212,0
0.008629955,0
0.01069084,0
0.012622919,0
0.014554999,0
0.016487078,0
0.018419158,0
0.020351237,0
0.022283317,0
0.024344201,0
0.026276281,0
0.02820836,0
0.03014044,0
0.032072519,0
0.034262209,0
0.036194289,0
0.038126368,0
0.040058448,0
0.042248138,0
0.044309023,0
0.046369908,0
0.048173182,0
0.050234067,0
0.052166146,0
0.054098225,0
0.0559015,0
0.059894464,0
0.061826543,0
0.063887428,0
0.065819508,0
0.067751587,0
0.069554861,0
0.071486941,0
0.073676631,0
0.075737516,0
0.077669595,0
0.07973048,0
0.081791365,0
0.08385225,0
0.085784329,0
0.087716408,0
0.089777293,0
0.092739815,0
0.0948007,0
0.096732779,0
0.098793664,0
0.100596938,0
0.102529018,0
0.104461097,0
0.106393177,0
0.109613309,0
0.111545389,0
0.113606274,0
0.115409548,0
0.117341627,0
0.119402512,0
0.121463397,0
0.123524282,0
0.125585166,0
0.127517246,0
0.129706936,0
0.131767821,0
0.133828705,0
0.13588959,0
0.13782167,0
0.139882554,0
0.141814634,0
0.143875519,0
0.145936404,0
0.147739678,0
0.149800563,0
0.153535916,0
0.155467996,0
0.159074544,0
0.161135429,0
0.163196314,0
0.165386004,0
0.168992552,0
0.170924632,0
0.172985516,0
0.17478879,0
0.17672087,0
0.178652949,0
0.180585029,0
0.18328994,0
0.186123657,0
0.188055736,0
0.18985901,0
0.19179109,0
0.193851975,0
0.195912859,0
0.197716134,0
0.199648213,0
0.201451487,0
0.203383567,0
0.205444452,0
0.209051,0
0.211111885,0
0.21317277,0
0.215233654,0
0.217165734,0
0.219097813,0
0.221158698,0
0.223348388,0
0.225538078,0
0.227598963,0
0.229788653,0
0.232107148,0
0.234039228,0
0.236228918,0
0.238289803,0
0.240479493,0
0.242669183,0
0.244730068,0
0.246919758,0
0.249109448,0
0.251299138,0
0.253488828,0
0.255549713,0
0.25864104,0
0.260959535,0
0.26302042,0
0.265081305,0
0.267270995,0
0.269460685,0
0.27152157,0
0.27371126,0
0.275643339,0
0.27783303,0
0.28002272,0
0.281954799,0
